balance,return,highLevel,drawdown,ddPercent,date,netPnl
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-04 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-05 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-06 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-07 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-08 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-11 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-12 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-13 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-14 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-15 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-18 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-19 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-20 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-21 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-22 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-25 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-26 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-27 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-28 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-11-29 15:00:00,0.0
1026014.2400000002,0.0,1029679.7200000002,-3665.4799999999814,-0.35598253794878865,2019-12-02 15:00:00,0.0
1025948.7600000002,-6.381977700420371e-05,1029679.7200000002,-3730.9599999999627,-0.362341796923024,2019-12-03 15:00:00,-65.48
1024883.2800000003,-0.0010385313980008082,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-04 15:00:00,-1065.48
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-05 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-06 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-09 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-10 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-11 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-12 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-13 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-16 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-17 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-18 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-19 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-20 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-23 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-24 15:00:00,0.0
1024883.2800000003,0.0,1029679.7200000002,-4796.439999999944,-0.4658186333901908,2019-12-25 15:00:00,0.0
1024817.8000000003,-6.389020220920472e-05,1029679.7200000002,-4861.9199999999255,-0.4721778923644261,2019-12-26 15:00:00,-65.48
1028417.8000000003,0.0035128195470452983,1029679.7200000002,-1261.9199999999255,-0.12255461338987286,2019-12-27 15:00:00,3600.0
1028167.8000000003,-0.00024309186402649008,1029679.7200000002,-1511.9199999999255,-0.14683400776310573,2019-12-30 15:00:00,-250.0
