symbol,exchange,vtSymbol,date,time,open,high,low,close,volume
IF99,,IF99,20140411,00:00:00,2273.4721,2277.2639,2252.8066,2262.3189,697134.0
IF99,,IF99,20140414,00:00:00,2261.5679999999998,2272.5747,2252.0572,2262.8306,573361.0
IF99,,IF99,20140415,00:00:00,2264.4335,2268.6363,2216.1041,2224.771,727732.0
IF99,,IF99,20140416,00:00:00,2218.589,2239.8143,2212.0718,2222.2211,814095.0
IF99,,IF99,20140417,00:00:00,2230.0029999999997,2236.9275,2214.3649,2218.4197,757530.0
IF99,,IF99,20140418,00:00:00,2210.4394,2224.5646,2183.6808,2215.3126,854166.0
IF99,,IF99,20140421,00:00:00,2202.1839999999997,2228.7816,2165.2441,2170.0515,788000.0
IF99,,IF99,20140422,00:00:00,2165.8965,2187.6659,2153.9628,2178.7043,768364.0
IF99,,IF99,20140423,00:00:00,2181.6315,2186.9185,2165.6451,2175.175,660317.0
IF99,,IF99,20140424,00:00:00,2175.935,2194.8614,2164.4657,2173.5547,728544.0
IF99,,IF99,20140425,00:00:00,2174.617,2185.4786,2156.0172,2162.6604,797373.0
IF99,,IF99,20140428,00:00:00,2151.6832,2164.206,2130.0709,2133.7679,676978.0
IF99,,IF99,20140429,00:00:00,2133.0946,2158.9512,2131.248,2151.4663,591270.0
IF99,,IF99,20140430,00:00:00,2149.4394,2152.0979,2136.3605,2137.8161,445279.0
IF99,,IF99,20140505,00:00:00,2140.1074,2157.4489,2114.5145,2148.27,690990.0
IF99,,IF99,20140506,00:00:00,2148.7529999999997,2168.3697,2134.3357,2137.4516,680632.0
IF99,,IF99,20140507,00:00:00,2134.6763,2143.8962,2126.2471,2127.9414,617160.0
IF99,,IF99,20140508,00:00:00,2127.6011,2164.5808,2123.7041,2128.9738,848449.0
IF99,,IF99,20140509,00:00:00,2127.2661,2136.7325,2115.8167,2129.9884,734996.0
IF99,,IF99,20140512,00:00:00,2145.5231,2177.223,2132.7378,2171.3815,888412.0
IF99,,IF99,20140513,00:00:00,2173.2634,2173.6719,2154.9487,2157.7438,538406.0
IF99,,IF99,20140514,00:00:00,2159.1992,2171.5257,2151.1801,2155.6848,663543.0
IF99,,IF99,20140515,00:00:00,2152.8386,2156.3701,2131.6014,2135.484,599189.0
IF99,,IF99,20140516,00:00:00,2129.5334,2141.2351,2121.4054,2128.0248,658094.0
IF99,,IF99,20140519,00:00:00,2123.7561,2128.3343,2086.7107,2097.1420000000003,688278.0
IF99,,IF99,20140520,00:00:00,2112.9262,2117.4801,2094.0344,2096.862,565875.0
IF99,,IF99,20140521,00:00:00,2093.9034,2125.4444,2079.7070000000003,2116.8407,812098.0
IF99,,IF99,20140522,00:00:00,2122.2927,2152.2615,2111.0932,2112.1048,827612.0
IF99,,IF99,20140523,00:00:00,2113.475,2141.5463,2113.2233,2141.2147,750339.0
IF99,,IF99,20140526,00:00:00,2144.3456,2161.7913,2133.8274,2146.0859,625780.0
IF99,,IF99,20140527,00:00:00,2146.8137,2152.5386,2135.8335,2140.1804,606841.0
IF99,,IF99,20140528,00:00:00,2140.1784,2172.2076,2122.1325,2171.6363,860556.0
IF99,,IF99,20140529,00:00:00,2173.063,2176.1016,2148.1513,2152.172,594193.0
IF99,,IF99,20140530,00:00:00,2151.6685,2163.4074,2141.5294,2146.91,687818.0
IF99,,IF99,20140603,00:00:00,2155.4795,2161.598,2138.6355,2139.4384,542743.0
IF99,,IF99,20140604,00:00:00,2139.4463,2142.7132,2112.6929999999998,2125.0305,592106.0
IF99,,IF99,20140605,00:00:00,2123.4091,2154.3286,2120.2768,2149.2146,655314.0
IF99,,IF99,20140606,00:00:00,2151.5147,2152.506,2113.0167,2125.212,753940.0
IF99,,IF99,20140609,00:00:00,2126.0149,2152.5111,2115.395,2127.6139,851109.0
IF99,,IF99,20140610,00:00:00,2129.8403,2158.4935,2125.4689,2156.6898,936416.0
IF99,,IF99,20140611,00:00:00,2153.8684,2156.362,2143.6266,2150.4217,645499.0
IF99,,IF99,20140612,00:00:00,2149.6132,2157.0002,2144.8772,2148.6042,533161.0
IF99,,IF99,20140613,00:00:00,2146.1318,2183.6648,2129.2313,2175.9102,908882.0
IF99,,IF99,20140616,00:00:00,2178.6747,2196.9534,2172.6936,2186.022,652989.0
IF99,,IF99,20140617,00:00:00,2185.9229,2186.9587,2169.3003,2170.9813,537838.0
IF99,,IF99,20140618,00:00:00,2170.3089999999997,2178.476,2160.384,2162.261,554825.0
IF99,,IF99,20140619,00:00:00,2164.1065,2167.1284,2120.2701,2132.7551,699153.0
IF99,,IF99,20140620,00:00:00,2133.1215,2141.657,2125.7137,2135.4503,624829.0
