0,net,hold,trade,commission,slipp
2018-1-29 21:10,-40,-40,0,0,0
2018-1-29 21:15,-120,-120,0,0,0
2018-1-29 21:20,0,0,0,0,0
2018-1-29 21:25,40,40,0,0,0
2018-1-29 21:30,80,80,0,0,0
2018-1-29 21:35,40,40,0,0,0
2018-1-29 21:40,0,0,0,0,0
2018-1-29 21:45,-40,-40,0,0,0
2018-1-29 21:50,-40,-40,0,0,0
2018-1-29 21:55,0,0,0,0,0
2018-1-29 22:00,40,40,0,0,0
2018-1-29 22:05,0,0,0,0,0
2018-1-29 22:10,0,0,0,0,0
2018-1-29 22:15,0,0,0,0,0
2018-1-29 22:20,0,0,0,0,0
2018-1-29 22:25,0,0,0,0,0
2018-1-29 22:30,0,0,0,0,0
2018-1-29 22:35,0,0,0,0,0
2018-1-29 22:40,0,0,0,0,0
2018-1-29 22:45,120,120,0,0,0
2018-1-29 22:50,-120,-120,0,0,0
2018-1-29 22:55,0,0,0,0,0
2018-1-29 23:00,-40,-40,0,0,0
2018-1-29 23:05,0,0,0,0,0
2018-1-29 23:10,80,80,0,0,0
2018-1-29 23:15,-40,-40,0,0,0
2018-1-29 23:20,0,0,0,0,0
2018-1-29 23:25,40,40,0,0,0
2018-1-29 23:30,40,40,0,0,0
2018-1-30 9:05,120,120,0,0,0
2018-1-30 9:10,80,80,0,0,0
2018-1-30 9:15,0,0,0,0,0
2018-1-30 9:20,40,40,0,0,0
2018-1-30 9:25,-120,-120,0,0,0
2018-1-30 9:30,0,0,0,0,0
2018-1-30 9:35,-40,-40,0,0,0
2018-1-30 9:40,120,120,0,0,0
2018-1-30 9:45,0,0,0,0,0
2018-1-30 9:50,160,160,0,0,0
2018-1-30 9:55,-80,-80,0,0,0
2018-1-30 10:00,0,0,0,0,0
2018-1-30 10:05,0,0,0,0,0
2018-1-30 10:10,0,0,0,0,0
2018-1-30 10:15,40,40,0,0,0
2018-1-30 10:35,0,0,0,0,0
2018-1-30 10:40,0,0,0,0,0
2018-1-30 10:45,80,80,0,0,0
2018-1-30 10:50,0,0,0,0,0
2018-1-30 10:55,0,0,0,0,0
2018-1-30 11:00,40,40,0,0,0
2018-1-30 11:05,-40,-40,0,0,0
2018-1-30 11:10,0,0,0,0,0
2018-1-30 11:15,40,40,0,0,0
2018-1-30 11:20,0,0,0,0,0
2018-1-30 11:25,0,0,0,0,0
2018-1-30 11:30,-40,-40,0,0,0
2018-1-30 13:35,0,0,0,0,0
2018-1-30 13:40,0,0,0,0,0
2018-1-30 13:45,0,0,0,0,0
2018-1-30 13:50,40,40,0,0,0
2018-1-30 13:55,80,80,0,0,0
2018-1-30 14:00,-200,-200,0,0,0
2018-1-30 14:05,-40,-40,0,0,0
2018-1-30 14:10,-120,-120,0,0,0
2018-1-30 14:15,40,40,0,0,0
2018-1-30 14:20,40,40,0,0,0
2018-1-30 14:25,0,0,0,0,0
2018-1-30 14:30,-80,-80,0,0,0
2018-1-30 14:35,0,0,0,0,0
