code,name,industry,area
002198,嘉应制药,中成药,广东
002017,东信和平,通信设备,广东
002768,国恩股份,塑料,山东
002570,贝因美,乳制品,浙江
002367,康力电梯,运输设备,江苏
002682,龙洲股份,公路,福建
002442,龙星化工,化工原料,河北
002718,友邦吊顶,家居用品,浙江
002800,天顺股份,仓储物流,新疆
002054,德美化工,化工原料,广东
002603,以岭药业,中成药,河北
002149,西部材料,小金属,陕西
002039,黔源电力,水力发电,贵州
002191,劲嘉股份,广告包装,深圳
002007,华兰生物,生物制药,河南
002537,海立美达,汽车整车,山东
002015,霞客环保,化纤,江苏
002631,德尔未来,家居用品,江苏
002648,卫星石化,化工原料,浙江
002428,云南锗业,小金属,云南
002776,柏堡龙,服饰,广东
002065,东华软件,软件服务,北京
002566,益盛药业,中成药,吉林
002210,飞马国际,仓储物流,深圳
002022,科华生物,医疗保健,上海
002167,东方锆业,小金属,广东
002625,龙生股份,汽车配件,浙江
002291,星期六,服饰,广东
002551,尚荣医疗,医疗保健,深圳
002200,云投生态,环境保护,云南
002024,苏宁云商,电器连锁,江苏
002731,萃华珠宝,服饰,辽宁
002118,紫鑫药业,中成药,吉林
002528,英飞拓,电脑设备,深圳
002350,北京科锐,电气设备,北京
002533,金杯电工,电气设备,湖南
002089,新 海 宜,通信设备,江苏
002742,三圣股份,其他建材,重庆
002005,德豪润达,家用电器,广东
002004,华邦健康,化学制药,重庆
002266,浙富控股,电气设备,浙江
002797,第一创业,证券,深圳
002616,长青集团,环境保护,广东
002099,海翔药业,化学制药,浙江
002351,漫步者,电脑设备,深圳
002294,信立泰,化学制药,深圳
002846,英联股份,广告包装,广东
002060,粤 水 电,建筑施工,广东
002250,联化科技,化工原料,浙江
002213,特 尔 佳,汽车配件,深圳
002219,恒康医疗,中成药,甘肃
002592,八菱科技,汽车配件,广西
002484,江海股份,元器件,江苏
002408,齐翔腾达,化工原料,山东
002463,沪电股份,元器件,江苏
002591,恒大高新,化工原料,江西
002051,中工国际,建筑施工,北京
002477,雏鹰农牧,农业综合,河南
002535,林州重机,工程机械,河南
002698,博实股份,化工机械,黑龙江
002483,润邦股份,工程机械,江苏
002425,凯撒文化,服饰,广东
002232,启明信息,软件服务,吉林
002736,国信证券,证券,深圳
002743,富煌钢构,钢加工,安徽
002498,汉缆股份,电气设备,山东
002690,美亚光电,专用机械,安徽
002403,爱仕达,家用电器,浙江
002093,国脉科技,电信运营,福建
002602,世纪华通,汽车配件,浙江
002658,雪迪龙,环境保护,北京
002318,久立特材,特种钢,浙江
002120,韵达股份,仓储物流,浙江
002285,世联行,房产服务,深圳
002817,黄山胶囊,化学制药,安徽
002016,世荣兆业,区域地产,广东
002615,哈尔斯,家居用品,浙江
002587,奥拓电子,元器件,深圳
002177,御银股份,电脑设备,广东
002482,广田集团,装修装饰,深圳
002503,搜于特,服饰,广东
002180,艾派克,电脑设备,广东
002131,利欧股份,互联网,浙江
002047,宝鹰股份,装修装饰,深圳
002500,山西证券,证券,山西
002263,大 东 南,塑料,浙江
002495,佳隆股份,食品,广东
002782,可立克,电气设备,深圳
002622,融钰集团,电气设备,吉林
002312,三泰控股,电脑设备,四川
002235,安妮股份,造纸,福建
002719,麦趣尔,乳制品,新疆
002473,圣莱达,家用电器,浙江
002183,怡 亚 通,仓储物流,深圳
002380,科远股份,电气设备,江苏
002018,华信国际,农药化肥,安徽
002584,西陇科学,化工原料,广东
002358,森源电气,电气设备,河南
002454,松芝股份,汽车配件,上海
002665,首航节能,电气设备,北京
002659,中泰桥梁,建筑施工,江苏
002159,三特索道,旅游景点,湖北
002369,卓翼科技,通信设备,深圳
002527,新时达,电器仪表,上海
002583,海能达,通信设备,深圳
002416,爱施德,电器连锁,深圳
002156,通富微电,半导体,江苏
002339,积成电子,电气设备,山东
002757,南兴装备,家居用品,广东
002154,报 喜 鸟,服饰,浙江
002474,榕基软件,软件服务,福建
002395,双象股份,塑料,江苏
002187,广百股份,百货,广东
002714,牧原股份,农业综合,河南
002687,乔治白,服饰,浙江
002324,普利特,塑料,上海
002234,民和股份,农业综合,山东
002208,合肥城建,区域地产,安徽
002364,中恒电气,电气设备,浙江
002170,芭田股份,农药化肥,深圳
002539,云图控股,农药化肥,四川
002181,粤 传 媒,出版业,广东
002672,东江环保,环境保护,广东
002111,威海广泰,航空,山东
002095,生 意 宝,互联网,浙江
002273,水晶光电,元器件,浙江
002629,仁智股份,石油开采,浙江
002624,完美世界,影视音像,浙江
002542,中化岩土,建筑施工,北京
002693,双成药业,化学制药,海南
002611,东方精工,轻工机械,广东
002406,远东传动,汽车配件,河南
002573,清新环境,环境保护,北京
002593,日上集团,汽车配件,福建
002286,保龄宝,食品,山东
002267,陕天然气,供气供热,陕西
002753,永东股份,化工原料,山西
002420,毅昌股份,塑料,广东
002127,南极电商,互联网,江苏
002585,双星新材,塑料,江苏
002760,凤形股份,机械基件,安徽
002343,慈文传媒,影视音像,浙江
002446,盛路通信,通信设备,广东
002106,莱宝高科,元器件,深圳
002502,骅威文化,影视音像,广东
002517,恺英网络,互联网,福建
002538,司尔特,农药化肥,安徽
002643,万润股份,化工原料,山东
002529,海源机械,专用机械,福建
002711,欧浦智网,仓储物流,广东
002725,跃岭股份,汽车配件,浙江
002738,中矿资源,建筑施工,北京
002515,金字火腿,食品,浙江
002355,兴民智通,汽车配件,山东
002140,东华科技,建筑施工,安徽
002815,崇达技术,半导体,深圳
002826,易明医药,化学制药,西藏
002621,三垒股份,专用机械,辽宁
002414,高德红外,电器仪表,湖北
002362,汉王科技,电脑设备,北京
002133,广宇集团,全国地产,浙江
002256,兆新股份,染料涂料,深圳
002042,华孚色纺,纺织,安徽
002092,中泰化学,化工原料,新疆
002325,洪涛股份,装修装饰,深圳
002766,索菱股份,汽车配件,深圳
002679,福建金森,林业,福建
002556,辉隆股份,其他商业,安徽
002810,山东赫达,化工原料,山东
002560,通达股份,电气设备,河南
002247,帝龙文化,装修装饰,浙江
002344,海宁皮城,商品城,浙江
002013,中航机电,航空,湖北
002097,山河智能,工程机械,湖南
002087,新野纺织,纺织,河南
