code,name,industry,area
000977,浪潮信息,电脑设备,山东
000876,新 希 望,饲料,四川
000850,华茂股份,纺织,安徽
000731,四川美丰,农药化肥,四川
000631,顺发恒业,区域地产,吉林
000623,吉林敖东,中成药,吉林
000566,海南海药,化学制药,海南
000966,长源电力,火力发电,湖北
000900,现代投资,路桥,湖南
000809,铁岭新城,区域地产,辽宁
000059,华锦股份,石油加工,辽宁
000971,高升控股,互联网,湖北
000422,湖北宜化,农药化肥,湖北
000428,华天酒店,酒店餐饮,湖南
000088,盐 田 港,港口,深圳
000065,北方国际,建筑施工,北京
000628,高新发展,园区开发,四川
000505,*ST珠江,房产服务,海南
000695,滨海能源,供气供热,天津
000735,罗 牛 山,农业综合,海南
000017,深中华A,文教休闲,深圳
000016,深康佳Ａ,家用电器,深圳
000400,许继电气,电气设备,河南
000785,武汉中商,百货,湖北
000987,越秀金控,多元金融,广东
000976,春晖股份,化纤,广东
000547,航天发展,通信设备,福建
000625,长安汽车,汽车整车,重庆
000068,华控赛格,元器件,深圳
000837,秦川机床,机床制造,陕西
000836,鑫茂科技,通信设备,天津
000488,晨鸣纸业,造纸,山东
000011,深物业A,区域地产,深圳
000519,中兵红箭,矿物制品,湖南
000592,平潭发展,林业,福建
000058,深 赛 格,元器件,深圳
000552,靖远煤电,煤炭开采,甘肃
000739,普洛药业,化学制药,浙江
000537,广宇发展,区域地产,天津
000530,大冷股份,机械基件,辽宁
000802,北京文化,旅游服务,北京
000719,大地传媒,出版业,河南
000521,美菱电器,家用电器,安徽
000815,美利云,造纸,宁夏
000676,智度股份,互联网,河南
000753,漳州发展,汽车服务,福建
000046,泛海控股,全国地产,北京
000014,沙河股份,全国地产,深圳
000848,承德露露,软饮料,河北
000897,津滨发展,区域地产,天津
000582,北部湾港,港口,广西
000021,深科技,电脑设备,深圳
000780,平庄能源,煤炭开采,内蒙
000687,华讯方舟,通信设备,河北
000707,双环科技,化工原料,湖北
000425,徐工机械,工程机械,江苏
000632,三木集团,综合类,福建
000929,兰州黄河,啤酒,甘肃
000513,丽珠集团,中成药,广东
000811,烟台冰轮,工程机械,山东
000993,闽东电力,水力发电,福建
000581,威孚高科,汽车配件,江苏
000757,浩物股份,汽车配件,四川
000851,高鸿股份,软件服务,贵州
000796,凯撒旅游,旅游服务,陕西
000715,中兴商业,百货,辽宁
000877,天山股份,水泥,新疆
000957,中通客车,汽车整车,山东
000418,小天鹅Ａ,家用电器,江苏
000540,中天城投,区域地产,贵州
000690,宝新能源,火力发电,广东
000869,张 裕Ａ,红黄药酒,山东
000892,欢瑞世纪,影视音像,重庆
000066,长城电脑,电脑设备,深圳
000022,深赤湾Ａ,港口,深圳
000026,飞亚达Ａ,其他商业,深圳
000670,*ST盈方,元器件,湖北
000517,荣安地产,区域地产,浙江
000156,华数传媒,影视音像,浙江
000959,首钢股份,普钢,北京
000158,常山股份,纺织,河北
000099,中信海直,空运,深圳
000506,中润资源,区域地产,山东
000831,*ST五稀,小金属,山西
000973,佛塑科技,塑料,广东
000672,上峰水泥,水泥,甘肃
000606,神州易桥,化学制药,青海
000563,陕国投Ａ,多元金融,陕西
000819,岳阳兴长,石油加工,湖南
000553,沙隆达Ａ,农药化肥,湖北
000789,万年青,水泥,江西
000717,*ST韶钢,钢加工,广东
000528,柳 工,工程机械,广西
000737,南风化工,日用化工,山西
000573,粤宏远Ａ,区域地产,广东
000812,陕西金叶,广告包装,陕西
000756,新华制药,化学制药,山东
000856,*ST冀装,机械基件,河北
000514,渝 开 发,区域地产,重庆
000951,中国重汽,汽车整车,山东
000975,银泰资源,铅锌,内蒙
000980,金马股份,汽车配件,安徽
000925,众合科技,专用机械,浙江
000403,ST生化,生物制药,山西
000548,湖南投资,路桥,湖南
000923,河北宣工,工程机械,河北
000905,厦门港务,港口,福建
000416,民生控股,多元金融,山东
000967,盈峰环境,电气设备,浙江
000921,海信科龙,家用电器,广东
000551,创元科技,专用机械,江苏
000669,金鸿能源,供气供热,吉林
000818,方大化工,化工原料,辽宁
000507,珠海港,港口,广东
000927,一汽夏利,汽车整车,天津
000885,同力水泥,水泥,河南
000407,胜利股份,供气供热,山东
000037,*ST南电A,火力发电,深圳
000498,山东路桥,建筑施工,山东
000820,神雾节能,环境保护,辽宁
000545,金浦钛业,化工原料,吉林
000839,中信国安,综合类,北京
000525,红 太 阳,农药化肥,江苏
000155,*ST川化,农药化肥,四川
000033,*ST新都,酒店餐饮,深圳
